MatchRatingApproachEncoderTest,testCompare_SMITH_SMYTH_SuccessfullyMatched,testCompare_Forenames_SEAN_JOHN_MatchExpected,testCompare_MCGOWAN_MCGEOGHEGAN_SuccessfullyMatched,testCompare_PETERSON_PETERS_SuccessfullyMatched,testCompare_Surname_PRZEMYSL_PSHEMESHIL_SuccessfullyMatched,testCompare_Surname_ROSOCHOWACIEC_ROSOKHOVATSETS_SuccessfullyMatched,testCompare_Surname_SZLAMAWICZ_SHLAMOVITZ_SuccessfullyMatched,testCompare_Surname_LEWINSKY_LEVINSKI_SuccessfullyMatched,testCompare_Surname_LIPSHITZ_LIPPSZYC_SuccessfullyMatched,testCompare_Surname_MOSKOWITZ_MOSKOVITZ_SuccessfullyMatched,testCompare_Surname_AUERBACH_UHRBACH_SuccessfullyMatched,testCompare_Surname_HAILEY_HALLEY_SuccessfullyMatched,testCompare_Surname_COOPERFLYNN_SUPERLYN_SuccessfullyMatched,testCompare_LongSurnames_OMUIRCHEARTAIGH_OMIREADHAIGH_SuccessfulMatch,testCompare_Surname_OSULLIVAN_OSUILLEABHAIN_SuccessfulMatch,testCompare_ZACH_ZAKARIA_SuccessfullyMatched,testCompare_SmallInput_CARK_Kl_SuccessfullyMatched,testCompare_TOMASZ_TOM_SuccessfullyMatched,testCompare_FRANCISZEK_FRANCES_SuccessfullyMatched,testCompare_SOPHIE_SOFIA_SuccessfullyMatched,testCompare_OONA_OONAGH_SuccessfullyMatched,testCompare_MICKY_MICHAEL_SuccessfullyMatched,testCompare_SAM_SAMUEL_SuccessfullyMatched,testCompare_STEPHEN_STEFAN_SuccessfullyMatched,testCompare_STEVEN_STEFAN_SuccessfullyMatched,testCompare_STEPHEN_STEVEN_SuccessfullyMatched,testCompare_COLM_COLIN_WithAccentsAndSymbolsAndSpaces_SuccessfullyMatched,testCompare_SEAN_SHAUN_SuccessfullyMatched,testCompare_BRIAN_BRYAN_SuccessfullyMatched,testCompare_CATHERINE_KATHRYN_SuccessfullyMatched,testCompare_BURNS_BOURNE_SuccessfullyMatched
MetaphoneTest,testWordsWithCIA,testExceedLength,testPHTOF
MetaphoneTest,testIsMetaphoneEqualParis,testIsMetaphoneEqualRay
MetaphoneTest,testDiscardOfSilentHAfterG,testTCH,testTIOAndTIAToX,testDiscardOfSilentGN
MetaphoneTest,testWordEndingInMB,testSHAndSIOAndSIAToX,testTranslateToJOfDGEOrDGIOrDGY,testDiscardOfSCEOrSCIOrSCY
MetaphoneTest,testIsMetaphoneEqualPeter,testIsMetaphoneEqualXalan
NysiisTest,testDad,testSnad,testFal
NysiisTest,testRule5,testRule7,testRule6
NysiisTest,testOthers,testRule4Dot1,testRule1
NysiisTest,testSnat,testTranan
SoundexTest,testHWRuleEx2,testMsSqlServer1
SoundexTest,testBadCharacters,testEncodeIgnoreTrimmable
SoundexTest,testUsMappingEWithAcute,testUsMappingOWithDiaeresis
QCodecTest,testBasicEncodeDecode,testUnsafeEncodeDecode
QuotedPrintableCodecTest,testBasicEncodeDecode,testUnsafeEncodeDecode
URLCodecTest,testBasicEncodeDecode,testUnsafeEncodeDecode
