AbstractTestXPath,testSelectDocumentDoc,testAncestorOrSelfFromRoot
AbstractTestXPath,testSelectDocumentMain,testAncestorsFromMain
AbstractTestXPath,testXPathDescendant,testXPathDescendantOrSelf
AbstractTestXPath,testXPathFollowingSibling,testXPathPrecedingSibling
AbstractTestXPath,testXPathFollowing,testXPathSelf,testXPathPreceding,testXPathParentNode,testXPathParent
AbstractTestXPath,testAncestorsFromChild,testAncestorOrSelfFromMain
AbstractTestXPath,testSelectMainByName,testSelectMainFromDoc
AbstractTestXPath,testXPathAncestor,testXPathAncestorOrSelf
AbstractTestXPathCompiled,testAncestorsFromChild,testAncestorOrSelfFromMain
AbstractTestXPathCompiled,testSelectMainByName,testSelectMainFromDoc
AbstractTestXPathCompiled,testGetALLNamespaces,testXPathNamespaces
AbstractTestXPathCompiled,testXPathDescendant,testXPathDescendantOrSelf
AbstractTestXPathCompiled,testDuplicatePrefix,testRedefineNO_PREFIX
AbstractTestXPathCompiled,testXPathFollowing,testXPathSelf,testXPathPreceding,testXPathParentNode,testXPathParent
AbstractTestXPathCompiled,testSelectDocumentDoc,testAncestorOrSelfFromRoot
AbstractTestXPathCompiled,testDuplicateVariable,testBadVariableNamespace,testBadVariableName2,testBadVariableName1,testBadVariablePrefix
AbstractTestXPathCompiled,testXPathAncestor,testXPathAncestorOrSelf
AbstractTestXPathCompiled,testSelectDocumentMain,testAncestorsFromMain
AbstractTestXPathCompiled,testXPathFollowingSibling,testXPathPrecedingSibling
TestJavaCompiled,testAncestorOrSelfFromNamespace,testDetachedElement,testDetachedComment,testDetachedEntityRef,testDetachedProcessingInstruction,testDetachedCDATA,testDetachedText,testDetachedAttribute
TestXalanCompiled,testAncestorOrSelfFromNamespace,testDetachedElement,testDetachedComment,testDetachedEntityRef,testDetachedProcessingInstruction,testDetachedCDATA,testDetachedText,testDetachedAttribute
