index_time, globalTokenPositionCreationTime,num_candidates, num_clonePairs, total_run_time, searchTime,timeSpentInSearchingCandidates,timeSpentInProcessResult,operation,sortTime_during_indexing
1502,671,0,0,2188,0,0,0,index,100
0,91,0,50139,22665,22340,0,0,search
