org.apache.bcel,EnclosingMethodAttributeTestCase,testCheckMethodLevelNamedInnerClass,testCheckClassLevelNamedInnerClass,,
,AnonymousClassTestCase,testRegularClassIsNotAnonymous,testNamedInnerClassIsNotAnonymous,testStaticInnerClassIsNotAnonymous,
org.apache.bcel.verifier,VerifierInvokeTestCase,testLegalInvokeVirtual,testLegalInvokeStatic,testLegalInvokeInterface,testLegalInvokeSpecial
org.apache.bcel.generic,InstructionHandleTestCase,testsetInstructionNull,testsetInstructionnotI,,
,BranchHandleTestCase,testsetInstructionNull,testsetInstructionnotBI,,
